
22,27,26,72,101,67,48,21
20,26,26,73,102,70,49,22

8,2,49,44,41,38,9,1
7,2,50,50,44,39,10,1
6,3,51,53,45,40,10,0
5,3,50,54,45,43,9,0

22,7,47,48,40,30,17,1
18,6,49,51,41,36,18,1
15,5,52,53,42,40,18,1
12,4,54,54,42,42,18,1

28,25,22,40,55,37,39,31
36,31,30,57,72,53,53,39
33,30,33,61,82,57,56,42
30,30,35,66,87,58,57,43
26,29,35,69,88,61,58,43

23,13,9,39,61,34,36,22
29,23,20,51,76,51,52,34
30,27,27,59,84,62,59,42
29,27,30,65,88,67,65,47
27,29,30,70,90,68,66,48
25,29,31,74,92,68,66,48
24,28,31,76,96,71,67,47

22,17,5,37,53,38,42,19
28,28,21,56,71,52,52,31
28,31,27,64,82,59,57,36
28,31,30,69,88,64,61,41
25,31,31,73,93,67,63,42
22,31,32,73,96,70,64,44
18,29,33,74,98,71,66,44

16,12,10,38,65,36,37,24
17,14,18,46,74,46,45,29
16,15,24,58,82,55,51,34
14,16,29,63,88,61,54,39
13,17,31,67,92,63,57,42
11,16,30,68,95,65,60,43
10,14,29,67,96,69,63,44

24,17,14,47,59,42,35,19
27,20,18,52,69,52,40,25
27,20,19,58,75,58,48,28
24,21,23,64,84,62,51,31
21,21,24,68,90,64,52,31
18,20,23,70,93,66,52,31
18,20,23,70,93,66,52,31

17,15,10,50,61,34,32,16
25,24,25,62,74,52,42,27
25,26,29,72,83,59,49,32
25,27,35,80,93,65,57,36
24,27,36,85,98,68,62,39
21,28,37,89,101,69,63,40
21,28,37,89,101,69,63,40
18,27,37,92,104,71,63,41

19,17,8,42,59,38,28,10
21,21,13,53,71,48,35,14
22,22,16,60,77,54,38,17
22,22,19,64,82,58,41,22
20,20,21,66,84,60,45,25
16,19,21,68,86,61,49,26
14,16,20,69,88,61,52,27

19,21,17,46,66,39,34,19
19,25,22,58,79,52,46,29
18,24,24,64,85,58,53,32
15,22,24,67,89,62,56,34

16,18,11,43,63,46,45,30
23,27,18,55,74,56,52,31
26,33,25,63,80,58,54,33
27,35,26,66,82,61,58,34
26,35,26,68,86,63,62,34

28,26,12,40,56,49,40,23
25,25,19,55,72,55,49,29
22,23,23,65,81,61,56,32
18,23,25,71,87,66,60,36
15,21,27,74,89,66,61,37

22,23,15,48,57,39,32,14
25,28,23,56,68,49,41,21
22,27,27,61,75,54,48,28
19,25,30,67,81,59,53,32
16,23,32,69,85,62,57,37
13,21,32,72,88,65,60,39
12,18,32,73,91,65,61,40

19,15,13,49,61,42,31,13
20,19,20,60,73,55,44,21
20,22,26,68,84,61,51,26
20,25,33,76,93,65,56,31
21,28,39,82,99,69,60,36
21,29,42,85,101,72,62,38
19,30,42,88,103,73,64,38
17,31,42,89,104,74,63,38
16,31,40,90,105,78,63,37

21,19,5,29,59,51,18,20
26,28,10,40,70,59,26,24
25,28,17,49,82,64,30,28
24,27,23,54,88,69,33,29
23,27,24,59,92,71,36,30
20,27,23,62,95,73,37,32
18,27,22,66,97,73,39,31

20,15,11,37,69,60,19,20
24,23,18,52,83,72,32,31
29,28,25,58,90,77,39,37
30,31,27,63,94,79,43,38
28,31,28,66,97,80,45,39
26,30,28,68,99,82,44,38

13,15,8,35,68,53,25,9
17,20,19,51,79,63,33,15
17,20,19,51,79,63,33,15
18,24,24,60,90,70,38,20
17,27,28,68,97,77,44,23
